date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:35	77/77	---M--	200	added ('OK')	text/plain	etag:%22619cf669-4d%22	https://www.lalal.ai/robots.txt		(from )
22:54:35	71766/71766	---MCZ	200	added ('OK')	text/html	etag:W/%2273e0af8c4c860667a96ab631d6b2916f%22	https://www.lalal.ai/	C:/My%20Web%20Sites/vocal2/www.lalal.ai/index.html	(from )
22:54:35	100130/100130	---MC-	200	added ('OK')	application/javascript	date:Wed,%2024%20Nov%202021%2015:54:35%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-PBKZ6S6	C:/My%20Web%20Sites/vocal2/www.googleoptimize.com/optimize91d0.js	(from https://www.lalal.ai/)
22:54:36	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Wed,%2024%20Nov%202021%2015:54:36%20GMT	https://s.lalal.ai/icons/favicon-32x32.png	C:/My%20Web%20Sites/vocal2/s.lalal.ai/icons/favicon-32x32.1.delayed	(from https://www.lalal.ai/)
22:54:36	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Wed,%2024%20Nov%202021%2015:54:36%20GMT	https://s.lalal.ai/icons/favicon-16x16.png	C:/My%20Web%20Sites/vocal2/s.lalal.ai/icons/favicon-16x16.png	(from https://www.lalal.ai/)
22:54:36	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Wed,%2024%20Nov%202021%2015:54:36%20GMT	https://s.lalal.ai/icons/apple/apple-touch-icon.png	C:/My%20Web%20Sites/vocal2/s.lalal.ai/icons/apple/apple-touch-icon.png	(from https://www.lalal.ai/)
22:54:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2024%20Nov%202021%2015:54:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/vocal2/www.googletagmanager.com/gtm.45445.delayed	(from https://www.lalal.ai/)
22:54:37	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Wed,%2024%20Nov%202021%2015:54:37%20GMT	https://s.lalal.ai/img/home/api_lalal.png	C:/My%20Web%20Sites/vocal2/s.lalal.ai/img/home/api_lalal.png	(from https://www.lalal.ai/)
22:54:37	122055/122055	---MCZ	200	added ('OK')	text/css	etag:W/%22619cf6b4-1dcc7%22	https://www.lalal.ai/s/bundles/home-2d3bfb135deb84e1aac1.css	C:/My%20Web%20Sites/vocal2/www.lalal.ai/s/bundles/home-2d3bfb135deb84e1aac1.css	(from https://www.lalal.ai/)
22:54:38	115792/115792	---MCZ	200	added ('OK')	text/css	etag:W/%22619cf6b4-1c450%22	https://www.lalal.ai/s/bundles/widget-a22f0a93a4052cecb753.css	C:/My%20Web%20Sites/vocal2/www.lalal.ai/s/bundles/widget-a22f0a93a4052cecb753.css	(from https://www.lalal.ai/)
22:54:38	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Wed,%2024%20Nov%202021%2015:54:38%20GMT	https://s.lalal.ai/img/loader-white.png	C:/My%20Web%20Sites/vocal2/s.lalal.ai/img/loader-white.png	(from https://www.lalal.ai/)
22:54:38	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Wed,%2024%20Nov%202021%2015:54:38%20GMT	https://s.lalal.ai/img/loader.png	C:/My%20Web%20Sites/vocal2/s.lalal.ai/img/loader.png	(from https://www.lalal.ai/)
22:54:38	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Wed,%2024%20Nov%202021%2015:54:38%20GMT	https://s.lalal.ai/img/home/api.png	C:/My%20Web%20Sites/vocal2/s.lalal.ai/img/home/api.png	(from https://www.lalal.ai/)
22:54:38	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Wed,%2024%20Nov%202021%2015:54:38%20GMT	https://s.lalal.ai/js/components/lazysizes.min.js	C:/My%20Web%20Sites/vocal2/s.lalal.ai/js/components/lazysizes.min.js	(from https://www.lalal.ai/)
